id,name,group,height,weight,life_span
1,Affenpinscher," Companion Dogs"," 9 inches to 11 inches tall at the shoulder"," 7 to 9 pounds"," 12 to 14 years"
2,"Afghan Hound"," Hound Dogs"," 2 feet to 2 feet, 4 inches tall at the shoulder"," 50 to 60 pounds"," 10 to 12 years"
3,"Airedale Terrier"," Terrier Dogs"," 1 foot, 9 inches to 1 foot, 11 inches tall at the shoulder"," 40 to 65 pounds"," 10 to 13 years"
4,Akita," Working Dogs"," 2 feet to 2 feet, 4 inches tall at the shoulder"," 70 to 130 pounds"," 10 to 12 years"
5,"Alaskan Klee Kai"," Companion Dogs"," 13 to 17 inches"," 10 to 15 pounds"," 12 to 16 years"
6,"Alaskan Malamute"," Working Dogs"," 1 foot, 11 inches to 2 feet, 1 inch tall at the shoulder"," 75 to 100 pounds"," 12 to 15 years"
7,"American Bulldog"," Working Dogs"," 20 to 28 inches"," 60 to 120 pounds"," 10 to 16 years"
8,"American English Coonhound"," Hound Dogs"," 1 foot, 11 inches to 2 feet, 2 inches tall at the shoulder",NULL," 10 to 12 years"
9,"American Eskimo Dog"," Companion Dogs"," 1 foot, 3 inches to 1 foot, 7 inches tall at the shoulder"," Starts at 30 pounds"," 12 to 15 years"
10,"American Foxhound"," Hound Dogs"," 1 foot, 9 inches to 2 feet, 1 inch tall at the shoulder"," 40 to 60 pounds"," 12 to 13 years"
11,"American Pit Bull Terrier"," Terrier Dogs"," 1 foot, 5 inches to 1 foot, 7 inches tall at the shoulder"," 30 to 85 pounds"," 12 to 16 years"
12,"American Staffordshire Terrier"," Terrier Dogs"," 16 to 19 inches"," 40 to 60 pounds"," 10 to 15 years"
13,"American Water Spaniel"," Sporting Dogs"," 1 foot, 3 inches to 1 foot, 6 inches tall at the shoulder"," 25 to 45 pounds"," 12 to 15 years"
14,"Anatolian Shepherd Dog"," Working Dogs"," 2 feet, 3 inches to 2 feet, 5 inches tall at the shoulder"," 80 to 150 pounds"," 11 to 13 years"
15,"Appenzeller Sennenhunde"," Herding Dogs"," 1 foot, 7 inches to 1 foot, 10 inches tall at the shoulder"," 48 to 55 pounds"," 9 to 12 years"
16,"Australian Cattle Dog"," Herding Dogs"," 1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder"," 30 to 50 pounds"," 12 to 15 years"
17,"Australian Shepherd"," Herding Dogs"," 1 foot, 6 inches to 1 foot, 11 inches tall at the shoulder"," 40 to 65 pounds"," 12 to 15 years"
18,"Australian Terrier"," Terrier Dogs"," 10 inches to 11 inches tall at the shoulder"," 14 to 16 pounds"," Up to 15 years"
19,Azawakh," Hound Dogs"," 1 foot, 11 inches to 2 feet, 5 inches tall at the shoulder"," 33 to 55 pounds"," 12 to 15 years"
20,Barbet," Sporting Dogs"," 1 foot, 8 inches to 2 feet, 1 inch tall at the shoulder"," 37 to 62 pounds"," 13 to 15 years"
21,Basenji," Hound Dogs"," 1 foot, 4 inches to 1 foot, 5 inches tall at the shoulder"," 22 to 24 pounds"," 10 to 12 years"
22,"Basset Hound"," Hound Dogs"," Up to 1 foot, 2 inches tall at the shoulder"," 50 to 65 pounds"," 10 to 12 years"
23,Beagle," Hound Dogs"," 1 foot, 1 inch to 1 foot, 3 inches tall at the shoulder"," 18 to 30 pounds"," 10 to 15 years"
24,"Bearded Collie"," Herding Dogs"," 1 foot, 8 inches to 1 foot, 10 inches tall at the shoulder"," 45 to 55 pounds"," 12 to 14 years"
25,"Bedlington Terrier"," Terrier Dogs"," 1 foot, 3 inches to 1 foot, 4 inches tall at the shoulder"," 17 to 23 pounds"," 14 to 16 years"
26,"Belgian Malinois"," Herding Dogs"," 1 foot, 10 inches to 2 feet, 2 inches tall at the shoulder"," 40 to 80 pounds"," 12 to 14 years"
27,"Belgian Sheepdog"," Herding Dogs"," 1 foot, 10 inches to 2 feet, 2 inches tall at the shoulder"," 60 to 75 pounds"," 10 to 12 years"
28,"Belgian Tervuren"," Herding Dogs"," 1 foot, 9 inches to 2 feet, 2 inches tall at the shoulder"," 40 to 70 pounds"," 10 to 12 years"
29,"Berger Picard"," Herding Dogs"," 1 foot, 9 inches to 2 feet, 1 inch tall at the shoulder"," 50 to 70 pounds"," 13 to 14 years"
30,Bernedoodle," Mixed Breed Dogs"," From 10 to 29 inches tall at the shoulder, as sizes vary from tiny to standard"," From 10 to 90 pounds"," 12 to 18 years. Tiny Bernedoodles tend to live longer than standard."
31,"Bernese Mountain Dog"," Working Dogs"," 1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder"," 70 to 115 pounds"," 6 to 8 years"
32,"Bichon Frise"," Companion Dogs"," 9 inches to 11 inches tall at the shoulder"," 7 to 12 pounds"," 12 to 15 years"
33,"Black and Tan Coonhound"," Hound Dogs"," 1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder"," 75 to 100 pounds"," 10 to 12 years"
34,"Black Mouth Cur"," Working Dogs"," 16 to 25 inches"," 40 to 95 pounds"," 12 to 18 years"
35,"Black Russian Terrier"," Working Dogs"," 2 feet, 2 inches to 2 feet, 6 inches tall at the shoulder"," 80 to 140 pounds"," 10 to 11 years"
36,Bloodhound," Hound Dogs"," 1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder"," 80 to 110 pounds"," 11 to 15 years"
37,"Bluetick Coonhound"," Hound Dogs"," 1 foot, 11 inches to 2 feet, 6 inches tall at the shoulder"," 45 to 100 pounds"," 10 to 12 years"
38,Boerboel," Working Dogs"," 22 to 28 inches"," 110 to 200 pounds"," 10 to 12 years"
39,Bolognese," Companion Dogs"," 9 inches to 1 foot tall at the shoulder"," 8 to 14 pounds"," 12 to 14 years"
40,"Border Collie"," Herding Dogs"," 1 foot, 6 inches to 1 foot, 10 inches tall at the shoulder"," 30 to 45 pounds"," 12 to 15 years"
41,"Border Terrier"," Terrier Dogs"," 10 inches to 11 inches tall at the shoulder"," 11 to 15 pounds"," 12 to 15 years"
42,Borzoi," Hound Dogs"," 2 feet, 2 inches to 2 feet, 8 inches tall at the shoulder"," 55 to 105 pounds"," 10 to 12 years"
43,"Boston Terrier"," Companion Dogs"," 1 foot to 1 foot, 3 inches tall at the shoulder"," 10 to 25 pounds"," 13 to 15 years"
44,"Bouvier des Flandres"," Herding Dogs"," 1 foot, 11 inches to 2 feet, 4 inches tall at the shoulder"," 70 to 100 pounds"," 10 to 12 years"
45,Boxer," Working Dogs"," 1 foot, 9 inches to 2 feet, 1 inch tall at the shoulder"," 60 to 70 pounds"," 10 to 12 years"
46,"Boykin Spaniel"," Sporting Dogs"," 1 foot, 2 inches to 1 foot, 6 inches tall at the shoulder"," 25 to 40 pounds"," 10 to 12 years"
47,"Bracco Italiano"," Sporting Dogs"," 1 foot, 9 inches to 2 feet, 2 inches tall at the shoulder"," 33 to 88 pounds"," 12 to 13 years"
48,Briard," Herding Dogs"," 1 foot, 10 inches to 2 feet, 3 inches tall at the shoulder"," 70 to 100 pounds"," 10 to 12 years"
49,Brittany," Sporting Dogs"," 1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder"," 30 to 40 pounds"," 10 to 13 years"
50,"Brussels Griffon"," Companion Dogs"," 7 inches to 8 inches tall at the shoulder"," 7 to 12 pounds"," 12 to 15 years"
51,"Bull Terrier"," Terrier Dogs"," 1 foot, 9 inches to 1 foot, 10 inches tall at the shoulder"," 35 to 75 pounds"," 10 to 15 years"
52,Bulldog," Companion Dogs"," 1 foot to 1 foot, 3 inches tall at the shoulder"," 40 to 50 pounds"," 8 to 12 years"
53,Bullmastiff," Working Dogs"," 2 feet to 2 feet, 3 inches tall at the shoulder"," 100 to 130 pounds"," 8 to 10 years"
54,"Cairn Terrier"," Terrier Dogs"," 9 inches to 10 inches tall at the shoulder"," 13 to 14 pounds"," 12 to 15 years"
55,"Canaan Dog"," Herding Dogs"," 1 foot, 7 inches to 2 feet tall at the shoulder"," 35 to 55 pounds"," 12 to 15 years"
56,"Cane Corso"," Working Dogs"," 1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder"," 90 to 120 pounds"," 10 to 12 years"
57,"Cardigan Welsh Corgi"," Herding Dogs"," 10 inches to 1 foot tall at the shoulder"," 25 to 38 pounds"," 12 to 15 years"
58,"Catahoula Leopard Dog"," Herding Dogs"," 1 foot, 8 inches to 2 feet, 2 inches tall at the shoulder"," 50 to 90 pounds"," 10 to 14 years"
59,"Caucasian Shepherd Dog"," Working Dogs"," 24 to 34 inches"," 80 to 220 pounds"," 10 to 12 years"
60,"Cavalier King Charles Spaniel"," Companion Dogs"," 1 foot to 1 foot, 1 inch tall at the shoulder"," 13 to 18 pounds"," 9 to 15 years"
61,"Cesky Terrier"," Terrier Dogs"," 10 inches to 1 foot, 1 inch tall at the shoulder"," 13 to 30 pounds"," 10 to 15 years"
62,"Chesapeake Bay Retriever"," Sporting Dogs"," 1 foot, 9 inches to 2 feet, 2 inches tall at the shoulder"," 55 to 80 pounds"," 10 to 12 years"
63,Chihuahua," Companion Dogs"," 6 inches to 9 inches tall at the shoulder"," 3 to 6 pounds"," 10 to 18 years"
64,"Chinese Crested"," Companion Dogs"," 11 inches to 1 foot, 1 inch tall at the shoulder"," Up to 12 pounds"," 10 to 14 years"
65,"Chinese Shar-Pei"," Working Dogs"," 1 foot, 6 inches to 1 foot, 8 inches tall at the shoulder"," 40 to 55 pounds"," 8 to 12 years"
66,Chinook," Working Dogs"," 1 foot, 9 inches to 2 feet, 3 inches tall at the shoulder"," 55 to 70 pounds"," 12 to 15 years"
67,"Chow Chow"," Working Dogs"," 1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder"," 40 to 70 pounds"," 12 to 15 years"
68,"Clumber Spaniel"," Sporting Dogs"," 1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder"," 55 to 85 pounds"," 12 to 12 years"
69,Cockapoo," Hybrid Dogs"," From 1 foot, 3 inches tall at the shoulder"," Starts at 19 pounds"," 12 to 15 years"
70,"Cocker Spaniel"," Sporting Dogs"," 1 foot, 2 inches to 1 foot, 3 inches tall at the shoulder"," 24 to 28 pounds"," 12 to 15 years"
71,Collie," Herding Dogs"," 1 foot, 10 inches to 2 feet, 2 inches tall at the shoulder"," 50 to 70 pounds"," 10 to 14 years"
72,"Coton de Tulear"," Companion Dogs"," 8 inches to 1 foot tall at the shoulder"," 8 to 13 pounds"," Starts at 14 years"
73,"Curly-Coated Retriever"," Sporting Dogs"," 1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder"," 65 to 100 pounds"," 9 to 12 years"
74,Dachshund," Hound Dogs"," 8 inches to 9 inches tall at the shoulder"," 16 to 32 pounds"," 12 to 15 years"
75,Dalmatian," Companion Dogs"," 1 foot, 7 inches to 2 feet tall at the shoulder"," 48 to 55 pounds"," 13 to 16 years"
76,"Dandie Dinmont Terrier"," Terrier Dogs"," 8 inches to 11 inches tall at the shoulder"," 18 to 24 pounds"," 12 to 15 years"
77,"Doberman Pinscher"," Working Dogs"," 2 feet to 2 feet, 4 inches tall at the shoulder"," 60 to 80 pounds"," 10 to 13 years"
78,"Dogo Argentino"," Sporting Dogs"," 23 to 27 inches"," 80 to 100 pounds"," 9 to 15 years"
79,"Dogue de Bordeaux"," Working Dogs"," 1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder"," Starts at 100 pounds"," 8 to 12 years"
80,"Dutch Shepherd"," Herding Dogs"," 21 to 25 inches"," 50 to 70 pounds"," 12 to 15 years"
81,"English Cocker Spaniel"," Sporting Dogs"," 1 foot, 3 inches to 1 foot, 5 inches tall at the shoulder"," 26 to 34 pounds"," 12 to 14 years"
82,"English Foxhound"," Hound Dogs"," 2 feet, 1 inch to 2 feet, 3 inches tall at the shoulder"," 55 to 75 pounds"," 10 to 13 years"
83,"English Setter"," Sporting Dogs"," 1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder"," 45 to 80 pounds"," 11 to 15 years"
84,"English Springer Spaniel"," Sporting Dogs"," 1 foot, 6 inches to 1 foot, 10 inches tall at the shoulder"," 45 to 55 pounds"," 9 to 15 years"
85,"English Toy Spaniel"," Companion Dogs"," 10 inches to 11 inches tall at the shoulder"," 8 to 14 pounds"," 10 to 12 years"
86,"Entlebucher Mountain Dog"," Herding Dogs"," 1 foot, 4 inches to 1 foot, 8 inches tall at the shoulder"," 45 to 65 pounds"," 10 to 13 years"
87,"Field Spaniel"," Sporting Dogs"," 1 foot, 4 inches to 1 foot, 7 inches tall at the shoulder"," 37 to 45 pounds"," 10 to 12 years"
88,"Finnish Lapphund"," Herding Dogs"," 1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder"," 33 to 53 pounds"," 12 to 15 years"
89,"Finnish Spitz"," Sporting Dogs"," 1 foot, 3 inches to 1 foot, 8 inches tall at the shoulder"," 20 to 35 pounds"," 12 to 15 years"
90,"Flat-Coated Retriever"," Sporting Dogs"," 1 foot, 10 inches to 2 feet tall at the shoulder"," 55 to 70 pounds"," 10 to 12 years"
91,"Fox Terrier"," Terrier Dogs"," Up to 1 foot, 3 inches tall at the shoulder"," 15 to 19 pounds"," 10 to 15 years"
92,"French Bulldog"," Companion Dogs"," 11 inches to 1 foot tall at the shoulder"," 16 to 28 pounds"," 11 to 14 years"
93,"German Pinscher"," Working Dogs"," 1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder"," 25 to 45 pounds"," 12 to 14 years"
94,"German Shepherd Dog"," Herding Dogs"," 1 foot, 10 inches to 2 feet, 2 inches tall at the shoulder"," 75 to 95 pounds"," 10 to 14 years"
95,"German Shorthaired Pointer"," Sporting Dogs"," 1 foot, 9 inches to 2 feet, 1 inch tall at the shoulder"," 45 to 70 pounds"," 12 to 15 years"
96,"German Wirehaired Pointer"," Sporting Dogs"," 1 foot, 10 inches to 2 feet, 2 inches tall at the shoulder"," 60 to 70 pounds"," 12 to 14 years"
97,"Giant Schnauzer"," Working Dogs"," 1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder"," 55 to 80 pounds"," 10 to 12 years"
98,"Glen of Imaal Terrier"," Terrier Dogs"," 1 foot to 1 foot, 2 inches tall at the shoulder"," Up to 35 pounds"," 12 to 15 years"
99,Goldador," Hybrid Dogs"," 1 foot, 10 inches to 2 feet tall at the shoulder"," 60 to 80 pounds"," 10 to 15 years"
100,"Golden Retriever"," Sporting Dogs"," 1 foot, 9 inches to 2 feet tall at the shoulder"," 55 to 75 pounds"," 10 to 12 years"
101,Goldendoodle," Hybrid Dogs"," 1 foot, 8 inches to 2 feet tall at the shoulder"," 50 to 90 pounds"," 10 to 15 years"
102,"Gordon Setter"," Sporting Dogs"," 1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder"," 45 to 80 pounds"," 10 to 12 years"
